"region","country","year","NY.GDP.PCAP.KD","SH.XPD.CHEX.GD.ZS"
"Latin America & Caribbean","Paraguay",2020,6095.39137530699,7.67533064
"Latin America & Caribbean","Peru",2020,5750.20031072789,6.28521156
"East Asia & Pacific","Philippines",2020,3195.53888262264,5.16
"Europe & Central Asia","Poland",2020,14774.989199307,6.5
"Europe & Central Asia","Portugal",2020,19802.2289134663,10.55
"Middle East & North Africa","Qatar",2020,58476.1994319533,3.81872201
"Europe & Central Asia","Romania",2020,10898.9214214222,6.23
"Europe & Central Asia","Russian Federation",2020,9632.3251953125,7.57
"Sub-Saharan Africa","Rwanda",2020,821.329261379564,7.47530079
"East Asia & Pacific","Samoa",2020,4223.58817209183,6.18895578
"Europe & Central Asia","San Marino",2020,41415.6669633221,8.48147392
"Sub-Saharan Africa","Sao Tome and Principe",2020,1422.94882843561,7.30042553
"Middle East & North Africa","Saudi Arabia",2020,19235.2422681203,6.64629889
"Sub-Saharan Africa","Senegal",2020,1391.04695489477,5.15119171
"Europe & Central Asia","Serbia",2020,6552.08439071824,8.70042133
"Sub-Saharan Africa","Seychelles",2020,17048.361729788,6.54135609
"Sub-Saharan Africa","Sierra Leone",2020,608.338120204502,9.32588673
"East Asia & Pacific","Singapore",2020,59144.3539186758,5.71281767
"Europe & Central Asia","Slovak Republic",2020,17618.5013397047,7.13
"Europe & Central Asia","Slovenia",2020,22963.9334110233,9.43
"East Asia & Pacific","Solomon Islands",2020,2079.54030646397,4.79699087
"Sub-Saharan Africa","South Africa",2020,5748.89784488027,8.57258797
"Europe & Central Asia","Spain",2020,24829.6485910222,10.74565983
"South Asia","Sri Lanka",2020,4229.74959441854,4.02
"Latin America & Caribbean","St. Kitts and Nevis",2020,18581.3806573826,5.65951824
"Latin America & Caribbean","St. Lucia",2020,8321.25357437874,6.79121685
"Latin America & Caribbean","St. Vincent and the Grenadines",2020,7940.45468563647,4.8395834
"Sub-Saharan Africa","Sudan",2020,1112.7216796875,3.01518917
"Latin America & Caribbean","Suriname",2020,7275.51159620534,6.84054422
"Europe & Central Asia","Sweden",2020,51952.6731328342,11.33
"Europe & Central Asia","Switzerland",2020,84637.0132313179,11.73206806
"Europe & Central Asia","Tajikistan",2020,1197.2106250504,8.18
"Sub-Saharan Africa","Tanzania",2020,1028.91186523438,2.93978429
"East Asia & Pacific","Thailand",2020,6049.18761058698,4.35728741
"East Asia & Pacific","Timor-Leste",2020,1986.88382500015,9.96385956
"Sub-Saharan Africa","Togo",2020,828.666926932417,6.03786469
"East Asia & Pacific","Tonga",2020,4637.6754528706,5.33435154
"Latin America & Caribbean","Trinidad and Tobago",2020,14214.3845710527,7.53854179
"Middle East & North Africa","Tunisia",2020,3708.45666254199,7.05024958
"Europe & Central Asia","Turkiye",2020,12179.661169348,4.62
"Europe & Central Asia","Turkmenistan",2020,7744.56403163178,5.68472815
"East Asia & Pacific","Tuvalu",2020,3976.79623412583,18.86140633
"Sub-Saharan Africa","Uganda",2020,918.120097853684,4.30198574
"Europe & Central Asia","Ukraine",2020,2350.40014648438,7.56
"Middle East & North Africa","United Arab Emirates",2020,41276.0555134414,5.82477045
"Europe & Central Asia","United Kingdom",2020,42191.9173665785,12.15863419
"North America","United States",2020,59394.778327105,18.75621986
"Latin America & Caribbean","Uruguay",2020,16294.9259266656,9.13688469
"Europe & Central Asia","Uzbekistan",2020,3187.04897410086,6.75
"East Asia & Pacific","Vanuatu",2020,2634.24388390429,3.99482441
"East Asia & Pacific","Viet Nam",2020,3352.06001102928,4.30061865
"Sub-Saharan Africa","Zambia",2020,1237.28330318262,6.31619787
"Sub-Saharan Africa","Zimbabwe",2020,1213.11705725994,2.95440149
